13-Apr-21 12:34:50.874 [Solver] INFO  util.Progress> [Solving problem ...]
13-Apr-21 12:34:50.875 [Solver] INFO  solver.Solver> Using org.cpsolver.ifs.termination.GeneralTerminationCondition
13-Apr-21 12:34:50.877 [Solver] INFO  solver.Solver> Using org.cpsolver.ifs.solution.GeneralSolutionComparator
13-Apr-21 12:34:50.878 [Solver] INFO  solver.Solver> Using org.cpsolver.exam.heuristics.ExamNeighbourSelection
13-Apr-21 12:34:50.883 [Solver] INFO  heuristics.StandardNeighbourSelection> Using org.cpsolver.ifs.heuristics.GeneralValueSelection
13-Apr-21 12:34:50.884 [Solver] INFO  heuristics.StandardNeighbourSelection> Using org.cpsolver.ifs.heuristics.GeneralVariableSelection
13-Apr-21 12:34:50.900 [Solver] INFO  solver.Solver> Using org.cpsolver.ifs.perturbations.DefaultPerturbationsCounter
13-Apr-21 12:34:50.911 [Solver] INFO  util.JProf> Using wall time.
13-Apr-21 12:34:51.444 [Solver] INFO  solver.Solver> Initial solution:[
    Assigned variables: 0.00% (0/832)
    Iteration: 0
    Number of Exams: 832
    Number of Exams Requiring Alt Seating: 832
    Number of Periods: 64
    Number of Rooms: 32
    Number of Small Exams (Exams W/O Room): 0
    Number of Student Exams: 0
    Number of Students: 13642
    Number of Students with 1 meeting: 284
    Number of Students with 10 or more meetings: 4559
    Number of Students with 2 meetings: 242
    Number of Students with 3 meetings: 150
    Number of Students with 4 meetings: 131
    Number of Students with 5 meetings: 263
    Number of Students with 6 meetings: 613
    Number of Students with 7 meetings: 1188
    Number of Students with 8 meetings: 2465
    Number of Students with 9 meetings: 3747
    Overall solution value: 0.00
    Time: 0.00 min
  ]
13-Apr-21 12:34:51.445 [Solver] INFO  exam.Test> **BEST[0]** V:0/832 - T:0.00 [@P:�, BTB:0, DC:0, M2D:0, PI:�, PP:0, PS:�, RP:0, RSd:�, RSp:0, RSz:�, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.445 [Solver] INFO  heuristics.ExamNeighbourSelection> ***** construction phase *****
13-Apr-21 12:34:51.445 [Solver] INFO  util.Progress> [Solver] Construction ...
13-Apr-21 12:34:51.520 [Solver] INFO  exam.Test> **BEST[1]** V:1/832 - T:90.00 [@P:�, BTB:0, DC:0, M2D:0, PI:0, PP:0, PS:0, RP:0, RSd:0.03, RSp:9, RSz:12, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.539 [Solver] INFO  exam.Test> **BEST[2]** V:2/832 - T:130.00 [@P:�, BTB:0, DC:0, M2D:0, PI:1, PP:0, PS:0, RP:0, RSd:0.03, RSp:13, RSz:10, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.559 [Solver] INFO  exam.Test> **BEST[3]** V:3/832 - T:220.01 [@P:�, BTB:0, DC:0, M2D:0, PI:1.67, PP:0, PS:0, RP:0, RSd:0.03, RSp:22, RSz:26.33, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.575 [Solver] INFO  exam.Test> **BEST[4]** V:4/832 - T:260.01 [@P:�, BTB:0, DC:0, M2D:0, PI:2.5, PP:0, PS:0, RP:0, RSd:0.03, RSp:26, RSz:20.5, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.606 [Solver] INFO  exam.Test> **BEST[5]** V:5/832 - T:300.01 [@P:�, BTB:0, DC:0, M2D:0, PI:3.2, PP:0, PS:0, RP:0, RSd:0.03, RSp:30, RSz:20.2, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.623 [Solver] INFO  exam.Test> **BEST[6]** V:6/832 - T:340.01 [@P:�, BTB:0, DC:0, M2D:0, PI:4, PP:0, PS:0, RP:0, RSd:0.03, RSp:34, RSz:20.33, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.631 [Solver] INFO  exam.Test> **BEST[7]** V:7/832 - T:380.01 [@P:�, BTB:0, DC:0, M2D:0, PI:4.57, PP:0, PS:0, RP:0, RSd:0.03, RSp:38, RSz:17.71, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.634 [Solver] INFO  exam.Test> **BEST[8]** V:8/832 - T:14470.01 [@P:�, BTB:0, DC:14, M2D:0, PI:5, PP:0, PS:0, RP:0, RSd:0.03, RSp:47, RSz:16.12, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.644 [Solver] INFO  exam.Test> **BEST[9]** V:9/832 - T:14510.02 [@P:�, BTB:0, DC:14, M2D:0, PI:4.44, PP:0, PS:0, RP:0, RSd:0.03, RSp:51, RSz:15.78, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.647 [Solver] INFO  exam.Test> **BEST[10]** V:10/832 - T:14550.03 [@P:�, BTB:0, DC:14, M2D:0, PI:4.2, PP:0, PS:0, RP:0, RSd:0.02, RSp:55, RSz:23.8, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.650 [Solver] INFO  exam.Test> **BEST[11]** V:11/832 - T:14560.03 [@P:�, BTB:0, DC:14, M2D:0, PI:4.09, PP:0, PS:0, RP:0, RSd:0.02, RSp:56, RSz:23.55, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.656 [Solver] INFO  exam.Test> **BEST[12]** V:12/832 - T:14560.04 [@P:�, BTB:0, DC:14, M2D:0, PI:4.5, PP:0, PS:0, RP:0, RSd:0.02, RSp:56, RSz:33.83, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.661 [Solver] INFO  exam.Test> **BEST[13]** V:13/832 - T:14600.05 [@P:�, BTB:0, DC:14, M2D:0, PI:4.85, PP:0, PS:0, RP:0, RSd:0.02, RSp:60, RSz:39.62, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.664 [Solver] INFO  exam.Test> **BEST[14]** V:14/832 - T:14610.06 [@P:�, BTB:0, DC:14, M2D:0, PI:4.93, PP:0, PS:0, RP:0, RSd:0.02, RSp:61, RSz:40, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.671 [Solver] INFO  exam.Test> **BEST[15]** V:15/832 - T:14610.08 [@P:�, BTB:0, DC:14, M2D:0, PI:5.33, PP:0, PS:0, RP:0, RSd:0.02, RSp:61, RSz:51, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.676 [Solver] INFO  exam.Test> **BEST[16]** V:16/832 - T:14610.11 [@P:�, BTB:0, DC:14, M2D:0, PI:5.81, PP:0, PS:0, RP:0, RSd:0.02, RSp:61, RSz:69.5, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.682 [Solver] INFO  exam.Test> **BEST[17]** V:17/832 - T:14700.11 [@P:�, BTB:0, DC:14, M2D:0, PI:5.59, PP:0, PS:0, RP:0, RSd:0.02, RSp:70, RSz:65.47, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.687 [Solver] INFO  exam.Test> **BEST[18]** V:18/832 - T:14710.12 [@P:�, BTB:0, DC:14, M2D:0, PI:5.56, PP:0, PS:0, RP:0, RSd:0.02, RSp:71, RSz:62.61, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.691 [Solver] INFO  exam.Test> **BEST[19]** V:19/832 - T:14710.16 [@P:�, BTB:0, DC:14, M2D:0, PI:6, PP:0, PS:0, RP:0, RSd:0.02, RSp:71, RSz:83.58, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.695 [Solver] INFO  exam.Test> **BEST[20]** V:20/832 - T:14710.20 [@P:�, BTB:0, DC:14, M2D:0, PI:6.5, PP:0, PS:0, RP:0, RSd:0.02, RSp:71, RSz:100.6, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.700 [Solver] INFO  exam.Test> **BEST[21]** V:21/832 - T:14720.21 [@P:�, BTB:0, DC:14, M2D:0, PI:6.71, PP:0, PS:0, RP:0, RSd:0.02, RSp:72, RSz:96.19, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.707 [Solver] INFO  exam.Test> **BEST[22]** V:22/832 - T:14730.23 [@P:�, BTB:0, DC:14, M2D:0, PI:7, PP:0, PS:0, RP:0, RSd:0.02, RSp:73, RSz:102.27, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.713 [Solver] INFO  exam.Test> **BEST[23]** V:23/832 - T:14770.23 [@P:�, BTB:0, DC:14, M2D:0, PI:7.17, PP:0, PS:0, RP:0, RSd:0.02, RSp:77, RSz:98.39, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.718 [Solver] INFO  exam.Test> **BEST[24]** V:24/832 - T:14780.23 [@P:�, BTB:0, DC:14, M2D:0, PI:7.46, PP:0, PS:0, RP:0, RSd:0.02, RSp:78, RSz:94.29, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.722 [Solver] INFO  exam.Test> **BEST[25]** V:25/832 - T:14790.24 [@P:�, BTB:0, DC:14, M2D:0, PI:7.16, PP:0, PS:0, RP:0, RSd:0.02, RSp:79, RSz:94.16, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.725 [Solver] INFO  exam.Test> **BEST[26]** V:26/832 - T:14790.29 [@P:�, BTB:0, DC:14, M2D:0, PI:7.54, PP:0, PS:0, RP:0, RSd:0.02, RSp:79, RSz:109.27, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.731 [Solver] INFO  exam.Test> **BEST[27]** V:27/832 - T:14830.30 [@P:�, BTB:0, DC:14, M2D:0, PI:7.89, PP:0, PS:0, RP:0, RSd:0.02, RSp:83, RSz:108.81, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.737 [Solver] INFO  exam.Test> **BEST[28]** V:28/832 - T:14840.30 [@P:�, BTB:0, DC:14, M2D:0, PI:7.93, PP:0, PS:0, RP:0, RSd:0.02, RSp:84, RSz:107.32, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.748 [Solver] INFO  exam.Test> **BEST[29]** V:29/832 - T:14850.31 [@P:�, BTB:0, DC:14, M2D:0, PI:8.31, PP:0, PS:0, RP:0, RSd:0.02, RSp:85, RSz:105.03, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.752 [Solver] INFO  exam.Test> **BEST[30]** V:30/832 - T:30060.31 [@P:�, BTB:0, DC:29, M2D:2, PI:8.23, PP:0, PS:0, RP:0, RSd:0.02, RSp:86, RSz:101.93, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.761 [Solver] INFO  exam.Test> **BEST[31]** V:31/832 - T:30060.31 [@P:�, BTB:0, DC:29, M2D:2, PI:8.61, PP:0, PS:0, RP:0, RSd:0.02, RSp:86, RSz:99.13, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.767 [Solver] INFO  exam.Test> **BEST[32]** V:32/832 - T:30070.31 [@P:�, BTB:0, DC:29, M2D:2, PI:8.44, PP:0, PS:0, RP:0, RSd:0.02, RSp:87, RSz:96.25, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.772 [Solver] INFO  exam.Test> **BEST[33]** V:33/832 - T:30080.31 [@P:�, BTB:0, DC:29, M2D:2, PI:8.52, PP:0, PS:0, RP:0, RSd:0.02, RSp:88, RSz:93.76, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.776 [Solver] INFO  exam.Test> **BEST[34]** V:34/832 - T:30090.32 [@P:�, BTB:0, DC:29, M2D:2, PI:8.65, PP:0, PS:0, RP:0, RSd:0.02, RSp:89, RSz:92.15, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.780 [Solver] INFO  exam.Test> **BEST[35]** V:35/832 - T:30090.32 [@P:�, BTB:0, DC:29, M2D:2, PI:9.03, PP:0, PS:0, RP:0, RSd:0.02, RSp:89, RSz:90.66, iBTB:0, iDC:0, iM2D:0]
13-Apr-21 12:34:51.783 [Solver] INFO  exam.Test> **BEST[36]** V:36/832 - T:30100.32 [@P:�, BTB:0, DC:29, M2D:2, PI:9.31, PP:0, PS:0, RP:0, RSd:0.02, RSp:90, RSz:88.53, iBTB:0, iDC:0, iM2D:0]
